Name,Category,State,Marker Type,Latitude,Longitude,Details,,,,,,,,,,,,,,,,,,,,
Lake Tahoe,Lake,Multiple,None,39° 5′ 48.5″ N,120° 1′ 56.6″ W,,,,,,,,,,,,,,,,,,,,,
Lukeville,City,Arizona,Dot,"31° 53' 00.5"" N","112° 48' 56.5"" W",,,,,,,,,,,,,,,,,,,,,
Meade River,River,Alaska,None,"70° 54' 13.8"" N","155° 57' 27.6"" W",,,,,,,,,,,,,,,,,,,,,
Mesa Verde,National Park,Colorado,Dot,"37° 14' 06.4"" N","108° 26' 48.9"" W",,,,,,,,,,,,,,,,,,,,,
Missouri River,River,Multiple,None,38° 48′ 49″ N,90° 07′ 11″ W,"2,341 miles",,,,,,,,,,,,,,,,,,,,
Monument Valley,Park,Arizona,Dot,"36° 59' 30.8"" N","110° 11' 46.5"" W",,,,,,,,,,,,,,,,,,,,,
Mount Chamberlin,Mountain,Alaska,Triangle,"69° 16' 40.2"" N","144° 54' 30.6"" W","8,901 ft",,,,,,,,,,,,,,,,,,,,
Mount Denali,Mountain,Alaska,Triangle,"63° 04' 10.0"" N","151° 00' 19.9"" W","20,194 ft",,,,,,,,,,,,,,,,,,,,
Mount Elbert,Mountain,Colorado,Triangle,"39° 07' 06.1"" N","106° 26' 38.4"" W","14,438 ft",,,,,,,,,,,,,,,,,,,,
Mount Hood,Mountain,Oregon,Triangle,"45° 22' 26.3"" N","121° 41' 41.0"" W","11,249 ft",,,,,,,,,,,,,,,,,,,,
Mount Marcus Baker,Mountain,Alaska,Triangle,"61° 26' 17.1"" N","147° 44' 55.8"" W","13,176 ft",,,,,,,,,,,,,,,,,,,,
Mount Osborn,Mountain,Alaska,Triangle,"64° 59' 38.2"" N","165° 19' 46.5"" W","4,714 ft",,,,,,,,,,,,,,,,,,,,
Mount Rainier,Mountain,Washington,Triangle,"46° 51' 10.2"" N","121° 45' 32.6"" W","14,411 ft",,,,,,,,,,,,,,,,,,,,
Mount Shasta,Mountain,California,Triangle,"41° 24' 37.9"" N","122° 11' 40.6"" W","14,179 ft",,,,,,,,,,,,,,,,,,,,
Mount Tozi,Mountain,Alaska,Triangle,"65° 41' 12.998"" N","150° 56' 52.001"" W","5,361 ft",,,,,,,,,,,,,,,,,,,,
Mulchatna River,River,Alaska,None,"59° 38' 41.5"" N","157° 06' 49.9"" W",,,,,,,,,,,,,,,,,,,,,
Noatak River,River,Alaska,None,"66° 58' 55.5"" N","162° 30' 17.0"" W",,,,,,,,,,,,,,,,,,,,,
North Cascades,National Park,Washington,Dot,"48° 47' 22.9"" N","121° 13' 53.3"" W",,,,,,,,,,,,,,,,,,,,,
Nunivak Island,Island,Alaska,None,"60° 06' 55.0"" N","166° 14' 25.9"" W",,,,,,,,,,,,,,,,,,,,,
Olympia,City,Washington,Star,"47° 03' 06.3"" N","122° 53' 51.9"" W",State Capital,,,,,,,,,,,,,,,,,,,,
Olympic,National Park,Washington,Dot,"47° 49' 06.9"" N","123° 32' 06.7"" W",,,,,,,,,,,,,,,,,,,,,
Oyukak Mountain,Mountain,Alaska,Triangle,"67° 33' 51.1"" N","155° 29' 54.5"" W","6,909 ft",,,,,,,,,,,,,,,,,,,,
Pacific Ocean,Ocean,None,None,8° 46′ 59.5″ S,124° 30′ 30.6″ W,,,,,,,,,,,,,,,,,,,,,
Phoenix,City,Arizona,Star,"33° 27' 11.4"" N","112° 05' 45.0"" W",,,,,,,,,,,,,,,,,,,,,
Polaris,Town,Montana,Dot,"45° 22' 6.59"" N","113° 07' 6.00"" W",,,,,,,,,,,,,,,,,,,,,
Porcupine River,River,Alaska,None,"67° 11' 05.3"" N","141° 57' 11.0"" W",,,,,,,,,,,,,,,,,,,,,
Red Rock Canyon,National Conservation Area,Nevada,Dot,"36° 11' 40.5"" N","115° 26' 16.7"" W",,,,,,,,,,,,,,,,,,,,,
Redmond,City,Washington,Dot,47° 40′ 26.4″ N,122° 7′ 17.4″ W,,,,,,,,,,,,,,,,,,,,,
Redoubt Volcano,Mountain,Alaska,Triangle,"60° 29' 07.8"" N","152° 44' 30.4"" W","10,197 ft",,,,,,,,,,,,,,,,,,,,
Redwood,National Park,California,Dot,"41° 26' 19.3"" N","124° 02' 18.3"" W",,,,,,,,,,,,,,,,,,,,,
Rio Grande River,River,Multiple,None,25° 57′ 22″ N,97° 8′ 43″ W,"1,885 miles",,,,,,,,,,,,,,,,,,,,
Rocky Mountain,National Park,Colorado,None,"40° 21' 11.2"" N","105° 39' 26.0"" W",,,,,,,,,,,,,,,,,,,,,
